Number of Spheres: 1000
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.352096
log(r) Normal with mean -3.07625, variance 0.1
Mean coordination No. 11.06
0.742235 0.793497 0.846284 0.052729
0.464787 0.9785 0.174672 0.0527518
0.0203428 0.925983 0.878503 0.0325447
0.106106 0.943382 0.672817 0.0488818
0.461822 0.603411 0.0631487 0.0454095
0.352546 0.316894 0.95537 0.0489758
0.925307 0.943498 0.736527 0.0646666
0.589115 0.0213384 0.759957 0.039759
0.585238 0.539986 0.824317 0.0555788
0.0716147 0.932472 0.125169 0.0513276
0.0291645 0.267955 0.342038 0.0501046
0.19868 0.967246 0.718846 0.0314118
0.0473261 0.33171 0.609562 0.0684482
0.580803 0.809606 0.372622 0.0597193
0.49346 0.752451 0.142464 0.0436278
0.674796 0.415679 0.665207 0.0526492
0.219639 0.287786 0.860221 0.053166
0.213788 0.757434 0.127679 0.0186205
0.747844 0.564954 0.0964798 0.0339207
0.536134 0.455536 0.826375 0.0411178
0.0931901 0.907149 0.0182545 0.0606432
0.457038 0.804547 0.587865 0.0457228
0.913071 0.908095 0.900984 0.0530099
0.394515 0.0148629 0.943928 0.0586898
0.964469 0.98286 0.842473 0.054948
0.843172 0.672414 0.341416 0.0452341
0.933805 0.815365 0.20707 0.0617702
0.143344 0.485443 0.412185 0.0472362
0.866392 0.332036 0.477125 0.0354906
0.704291 0.873343 0.857672 0.0321875
0.734145 0.303859 0.892224 0.0445379
0.853342 0.717707 0.985063 0.0399495
0.363922 0.534315 0.968614 0.0931231
0.889131 0.118084 0.912779 0.0453918
0.0687843 0.371705 0.873372 0.0543291
0.596685 0.592727 0.996576 0.0505362
0.357051 0.72882 0.13779 0.0473304
0.447166 0.166859 0.855537 0.0314977
0.0989533 0.938506 0.587555 0.0368179
0.471295 0.824229 0.770889 0.0461602
0.714102 0.0953262 0.804255 0.0383265
0.515505 0.793594 0.995906 0.0404337
0.245692 0.146908 0.562192 0.0456454
0.968958 0.628972 0.967682 0.0544992
0.377212 0.910516 0.864197 0.0737668
0.904277 0.836572 0.762562 0.0473749
0.829515 0.864919 0.914654 0.0412642
0.0714834 0.255406 0.922731 0.05608
0.793373 0.423507 0.618565 0.0280194
0.760114 0.298072 0.456917 0.0291291
0.821155 0.987314 0.127173 0.03507
0.946497 0.374286 0.0816706 0.0478213
0.237319 0.749804 0.399856 0.0455258
0.27443 0.30713 0.48615 0.0414181
0.279882 0.801807 0.0449062 0.0932932
0.192937 0.142176 0.0562996 0.0502187
0.701803 0.962835 0.986152 0.0460785
0.931143 0.662133 0.166511 0.0434172
0.596773 0.335028 0.623452 0.026407
0.0686198 0.593087 0.732474 0.0245732
0.753586 0.377032 0.33651 0.0401241
0.905233 0.659198 0.628949 0.059707
0.91571 0.796101 0.347537 0.0339928
0.707943 0.375924 0.137625 0.045408
0.301076 0.228625 0.387398 0.0391431
0.559121 0.763373 0.946744 0.0293211
0.294236 0.719216 0.632293 0.0325718
0.270465 0.276953 0.257974 0.0368443
0.689154 0.420962 0.835477 0.0312531
0.357016 0.435895 0.181272 0.0308467
0.382451 0.669536 0.0385065 0.0602169
0.155456 0.979325 0.0913155 0.0489691
0.76457 0.991166 0.172009 0.0260551
0.0944881 0.224379 0.564143 0.0572783
0.125418 0.565996 0.117582 0.0397433
0.109538 0.369812 0.0577442 0.0278725
0.540862 0.892987 0.625819 0.0513843
0.510244 0.302795 0.802644 0.0608832
0.0941971 0.149779 0.197956 0.0395208
0.375826 0.390837 0.239585 0.0452093
0.753208 0.0757324 0.447388 0.0429412
0.668132 0.65188 0.191774 0.0253134
0.880111 0.865047 0.122422 0.0501077
0.828379 0.882627 0.065391 0.0288721
0.18593 0.189494 0.938494 0.0769275
0.706471 0.959618 0.828161 0.0573765
0.184272 0.701393 0.00699176 0.0370599
0.456183 0.717792 0.499029 0.0617906
0.453996 0.743476 0.74656 0.0399345
0.724896 0.289265 0.313349 0.0303588
0.941529 0.864675 0.688844 0.026368
0.778458 0.157516 0.621602 0.053877
0.42299 0.0467221 0.220327 0.0335518
0.158322 0.52307 0.201406 0.0600149
0.234213 0.712396 0.659623 0.0328091
0.77239 0.679787 0.402539 0.0277174
0.88484 0.565674 0.575279 0.0478736
0.96412 0.439955 0.892319 0.0395407
0.511918 0.805687 0.865627 0.058575
0.728493 0.308123 0.559319 0.0454342
0.618799 0.0656438 0.267907 0.0385315
0.51448 0.114304 0.843648 0.0306752
0.217991 0.939333 0.996145 0.0468796
0.123878 0.344156 0.407082 0.0372342
0.806253 0.708364 0.628452 0.0507958
0.417479 0.436844 0.0489809 0.0440916
0.450911 0.553221 0.175918 0.0327028
0.602202 0.518109 0.927801 0.0510918
0.244876 0.936584 0.372105 0.0871392
0.445188 0.330987 0.699563 0.0552992
