Number of Spheres: 1000
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.36
log(r) Normal with mean -3.05133, variance 0.1
Mean coordination No. 10.842
0.318346 0.628691 0.0997866 0.0410345
0.778602 0.0216183 0.498489 0.0493505
0.46141 0.329481 0.870039 0.0475107
0.135043 0.27629 0.212006 0.0387141
0.990674 0.384155 0.807111 0.0514524
0.368688 0.581373 0.905842 0.0816196
0.0693498 0.498242 0.476119 0.0626561
0.760829 0.922598 0.718995 0.0512904
0.802537 0.528065 0.256605 0.0674395
0.19319 0.0236728 0.487172 0.0486655
0.533985 0.808914 0.683809 0.0450889
0.414315 0.0224705 0.726509 0.0417845
0.79029 0.427724 0.267324 0.0342126
0.256037 0.883781 0.68416 0.0440396
0.768994 0.462033 0.14467 0.0667799
0.107153 0.0596003 0.13397 0.0324647
0.958378 0.609878 0.668949 0.0731758
0.612061 0.263601 0.16422 0.0273284
0.759819 0.882253 0.299152 0.0343114
0.0330428 0.360368 0.221435 0.0411454
0.66813 0.139311 0.0976958 0.0556277
0.761348 0.896436 0.609276 0.0615055
0.136181 0.500975 0.726645 0.02677
0.675668 0.96676 0.089504 0.0449607
0.633737 0.00830557 0.993331 0.0678823
0.949467 0.88054 0.815262 0.0554447
0.571942 0.341497 0.845806 0.0535552
0.0982808 0.0675561 0.630556 0.0489639
0.0459588 0.137472 0.134631 0.0350702
0.665274 0.209827 0.62927 0.0692014
0.853468 0.990345 0.395356 0.0461746
0.58718 0.623259 0.849127 0.0397546
0.0274058 0.0412468 0.863405 0.0528401
0.909901 0.347767 0.374363 0.0762001
0.575104 0.666946 0.924665 0.034646
0.173349 0.602247 0.154571 0.0374761
0.190035 0.0937965 0.418397 0.0496057
0.930151 0.380613 0.594935 0.0429081
0.643524 0.00279874 0.309926 0.0562767
0.93954 0.890851 0.266789 0.0406699
0.986348 0.947798 0.345575 0.0616398
0.407239 0.54167 0.671184 0.0241189
0.333179 0.512809 0.0794588 0.0564511
0.118853 0.665034 0.322242 0.0640293
0.531261 0.490566 0.702977 0.0384104
0.0113509 0.525677 0.330424 0.0385284
0.507931 0.800382 0.590138 0.0525109
0.794772 0.144363 0.991127 0.049052
0.638582 0.472781 0.867088 0.0327578
0.969923 0.715237 0.545376 0.0896251
0.677922 0.295396 0.912586 0.037338
0.872875 0.508579 0.69143 0.0612771
0.0135163 0.427546 0.60329 0.0531253
0.666977 0.941961 0.728311 0.0449905
0.0850888 0.519244 0.656002 0.0388699
0.349663 0.328148 0.974399 0.0384773
0.769182 0.699684 0.858288 0.0718377
0.782328 0.0318396 0.381883 0.0372778
0.902337 0.689992 0.876204 0.0289206
0.605256 0.973683 0.45193 0.0259083
0.477587 0.102983 0.403219 0.0504367
0.632899 0.108954 0.021098 0.0339823
0.405342 0.932618 0.966157 0.0424719
0.770109 0.336795 0.0465261 0.0567335
0.686921 0.912594 0.809244 0.043386
0.262242 0.0427413 0.0558815 0.0312117
0.880497 0.521025 0.992574 0.057554
0.511573 0.22381 0.134062 0.0397102
0.490669 0.510835 0.048393 0.081461
0.0893169 0.103055 0.527532 0.0289631
0.60322 0.583507 0.702547 0.0465226
0.911254 0.815731 0.466971 0.0463864
0.940796 0.219261 0.562015 0.0329767
0.738717 0.0730073 0.293933 0.0630826
0.946451 0.401038 0.975219 0.0351269
0.327004 0.306203 0.219765 0.0435519
0.913616 0.13629 0.307871 0.0462129
0.0981377 0.243887 0.503479 0.0452536
0.274003 0.113916 0.577517 0.0288703
0.668416 0.794147 0.341988 0.0765051
0.894512 0.432485 0.00702227 0.0329826
0.00491363 0.280515 0.226177 0.0436498
0.73869 0.0504337 0.0618572 0.0633782
0.40725 0.309624 0.790148 0.0496604
0.983787 0.616575 0.00934609 0.0573262
0.466455 0.698197 0.360138 0.0745099
0.154227 0.915638 0.726533 0.0402341
0.0691836 0.154996 0.0425561 0.0524435
0.0543072 0.457815 0.248294 0.0621477
0.647884 0.373186 0.792955 0.0442434
0.827638 0.614319 0.164452 0.0424758
0.122036 0.460414 0.582708 0.0621156
0.798658 0.223636 0.760062 0.0389557
0.509213 0.873285 0.21632 0.0534418
0.107629 0.655159 0.203428 0.0557216
0.555787 0.506028 0.217763 0.0512326
0.604694 0.775337 0.205793 0.0750317
0.0761293 0.991522 0.107658 0.033969
0.771281 0.301464 0.962768 0.0341793
0.562923 0.7601 0.387545 0.0433427
0.682424 0.967202 0.199947 0.0656894
0.292087 0.42948 0.0920201 0.0341752
0.709502 0.28804 0.347954 0.0311875
0.912056 0.319258 0.895832 0.0336685
0.775842 0.182402 0.678931 0.050433
0.610484 0.435899 0.286903 0.0386009
0.349052 0.681697 0.672406 0.0575037
0.437579 0.766672 0.107969 0.0300506
0.972638 0.397397 0.283027 0.0452141
0.223784 0.805302 0.0706708 0.0453341
0.0934378 0.0598881 0.362085 0.039005
0.685645 0.869881 0.0773968 0.0451737
0.886643 0.188946 0.676136 0.0515948
0.405897 0.289199 0.254109 0.0441568
0.00858271 0.168627 0.570134 0.0316557
0.994446 0.229677 0.64676 0.0673318
0.653317 0.526557 0.277311 0.0616798
0.975786 0.49238 0.667497 0.0456144
0.598441 0.63778 0.775277 0.0363469
0.844823 0.913042 0.93058 0.0477662
0.292946 0.679042 0.533915 0.0468462
0.825046 0.896422 0.259721 0.043214
0.0495515 0.355876 0.70091 0.0732272
0.0512568 0.379888 0.340159 0.0507052
0.210603 0.795686 0.925133 0.0626671
0.0824395 0.399841 0.51465 0.037226
0.665699 0.709561 0.979581 0.0683851
0.83073 0.645849 0.31083 0.0398255
0.375158 0.653273 0.996007 0.0338844
0.953859 0.750801 0.302671 0.0453297
0.0753708 0.840569 0.823389 0.0473248
0.473008 0.462212 0.803517 0.0325244
0.435775 0.389897 0.972109 0.0672533
0.277284 0.428265 0.725731 0.0616181
0.116843 0.349993 0.26466 0.0536756
0.19432 0.755886 0.202157 0.0673791
0.729447 0.710121 0.692241 0.0553264
0.434106 0.990361 0.0170906 0.0397223
0.111975 0.591674 0.728566 0.0671233
0.0663979 0.985415 0.573703 0.0294525
0.0679408 0.0412946 0.565201 0.0270442
0.544588 0.257635 0.246461 0.0700569
0.938997 0.453979 0.805548 0.0256631
0.415517 0.195035 0.0779167 0.0728283
0.44405 0.486073 0.725407 0.0441783
0.973464 0.324283 0.00681892 0.0370209
0.524483 0.095516 0.30717 0.0452348
0.176659 0.553381 0.00870936 0.0501327
0.333605 0.0970019 0.413958 0.0940685
0.427564 0.198635 0.322852 0.0676332
0.690883 0.291457 0.524418 0.0399333
0.318258 0.793803 0.792509 0.0339308
0.353942 0.769004 0.591416 0.0616845
0.32763 0.423036 0.448113 0.0360428
0.554008 0.549467 0.301426 0.0430514
0.345791 0.282957 0.504809 0.0394946
0.91578 0.481728 0.58104 0.0601639
0.249062 0.0409115 0.643166 0.0724286
0.289087 0.358925 0.543691 0.0582113
0.342468 0.440008 0.639246 0.0464715
0.959669 0.765465 0.948749 0.0393949
0.223423 0.688548 0.438694 0.0713471
0.17087 0.536725 0.920046 0.0402674
0.00700993 0.91957 0.257355 0.0332626
0.0350546 0.344259 0.558769 0.0422968
0.285769 0.167575 0.640617 0.0546423
0.0321126 0.220516 0.538992 0.0332744
0.885292 0.38753 0.0579367 0.0355597
0.419929 0.374526 0.651883 0.0362037
0.0489854 0.211991 0.405976 0.0685016
0.385547 0.537851 0.0109243 0.0333623
0.284699 0.380049 0.0468082 0.0273228
0.370549 0.0362689 0.136566 0.0836916
0.888546 0.961537 0.752454 0.0637885
0.37013 0.860562 0.657292 0.0522657
0.666869 0.484042 0.119215 0.034731
0.903109 0.684463 0.357007 0.0543132
0.505185 0.376331 0.733448 0.0817011
0.720624 0.464384 0.550312 0.052634
0.235513 0.694444 0.660404 0.0573777
0.555704 0.652196 0.258662 0.0676523
0.804838 0.349125 0.290524 0.0490205
0.86672 0.0152309 0.0360628 0.0718855
0.0169223 0.698008 0.339482 0.0398016
0.86844 0.403654 0.221529 0.0595097
0.882384 0.681223 0.947211 0.0453558
0.785177 0.437499 0.725062 0.0565129
0.292682 0.254946 0.409462 0.069153
0.492666 0.236938 0.746012 0.0588151
0.606662 0.0533876 0.0988612 0.050025
0.900377 0.225801 0.809567 0.0741903
0.385552 0.940216 0.0504851 0.0376546
0.97025 0.971916 0.837117 0.0407796
0.943338 0.526836 0.072242 0.0440821
0.914633 0.458065 0.489571 0.0340935
0.376394 0.256411 0.999163 0.0343304
0.569782 0.422645 0.184317 0.0396922
0.499138 0.555421 0.162971 0.0417777
0.198298 0.202911 0.36006 0.0378348
0.771493 0.825626 0.896853 0.0598969
0.806878 0.464551 0.610118 0.0523261
0.249716 0.983053 0.420689 0.0475901
0.270313 0.961007 0.0807779 0.0535089
0.964817 0.106608 0.487493 0.0383363
0.154254 0.439368 0.280725 0.0445362
0.79874 0.973913 0.312727 0.0542876
0.60133 0.989718 0.538855 0.0476565
0.228822 0.882169 0.164463 0.068721
0.353348 0.911033 0.240915 0.0802245
0.26516 0.767817 0.530034 0.0462563
0.807302 0.442099 0.0294802 0.0562391
